minute,second,x,y,shot_body_part,shot_technique,assisted,first_time,one_on_one,shot_type,distance,angle,xG
92,49,92,59,Right Foot,Normal,True,True,False,Open Play,12.041594578792296,48.366460663429805,0.192465059564516
48,10,92,57,Right Foot,Normal,True,True,False,Open Play,10.63014581273465,41.18592516570965,0.23279358127229838
109,21,95,49,Right Foot,Normal,False,False,False,Open Play,5.0990195135927845,11.309932474020213,0.5194332150156491
71,33,92,42,Right Foot,Normal,True,False,True,Open Play,11.313708498984761,45.0,0.3206405635535
34,2,90,42,Left Foot,Half Volley,False,True,False,Corner,12.806248474865697,38.65980825409009,0.014895563223059762
81,34,91,40,Right Foot,Half Volley,True,True,True,Open Play,13.45362404707371,48.01278750418334,0.05844263996777039
10,41,88,61,Right Foot,Normal,True,False,False,Open Play,16.278820596099706,42.510447078000844,0.11322557091123554
105,20,85,57,Right Foot,Normal,False,False,False,Open Play,16.55294535724685,25.016893478100023,0.13539046613724967
29,44,85,48,Left Foot,Normal,True,False,False,Open Play,15.132745950421556,7.594643368591445,0.04168919970392815
118,40,87,42,Right Foot,Normal ,True,False,False,Open Play,15.264337522473747,31.6075022462489,0.030331208215743786
23,21,78,60,Left Foot,Normal,False,True,False,Open Play,24.166091947189145,24.443954780416536,0.01091355256404076
85,34,78,55,Right Foot,Normal,False,False,False,Open Play,22.561028345356956,12.804266065286752,0.054400556908204833
92,49,80,36,Right Foot,Normal,True,True,False,Open Play,24.413111231467404,34.99202019855866,0.029219781029235704
111,13,76,36,Left Foot,Normal,False,False,False,Open Play,27.784887978899608,30.256437163529263,0.0064686488623750356
